log_id,transformer_id,substation_id,region,state,maintenance_type,failure_type,severity,reported_date,scheduled_date,completed_date,technician_id,technician_name,hours_spent,parts_replaced,cost_inr,downtime_hours,root_cause,resolution_notes,follow_up_required,next_inspection_date
ML-2025_04-0001,TRF-W-0040,SUB-W-006,WEST,Goa,CORRECTIVE,INSULATION_BREAKDOWN,CRITICAL,2025-04-10,2025-04-20,2025-04-27,TECH-1177,Rajesh Kumar,13.1,WINDING_COIL,21347.99,29.3,Voltage surge,Tightened connections,NO,2025-07-19
ML-2025_04-0002,TRF-W-0035,SUB-W-037,WEST,Goa,CORRECTIVE,MOISTURE_INGRESS,LOW,2025-04-07,2025-04-08,2025-04-14,TECH-1029,Anil Gupta,7.5,NONE,115256.38,14.8,Voltage surge,Temporary fix applied,NO,2025-07-07
ML-2025_04-0003,TRF-N-0068,SUB-N-011,NORTH,UP,INSPECTION,TAP_CHANGER_FAULT,HIGH,2025-04-06,2025-04-12,2025-04-14,TECH-1061,Priya Sharma,41.1,TAP_CHANGER,458501.74,44.7,Voltage surge,Temporary fix applied,NO,2025-07-11
ML-2025_04-0004,TRF-E-0039,SUB-E-022,EAST,Bihar,EMERGENCY,OVERHEATING,HIGH,2025-04-10,2025-04-17,2025-04-20,TECH-1019,Deepak Singh,29.8,NONE,286845.81,43.5,Weather damage,Monitoring ongoing,NO,2025-07-16
ML-2025_04-0005,TRF-E-0074,SUB-E-018,EAST,Jharkhand,EMERGENCY,NONE,MEDIUM,2025-04-09,2025-04-19,2025-04-22,TECH-1038,Sanjay Verma,3.2,WINDING_COIL,252749.61,9.2,Unknown,Awaiting parts,NO,2025-07-18
ML-2025_04-0006,TRF-C-0013,SUB-C-016,CENTRAL,Chhattisgarh,PREVENTIVE,LIGHTNING_DAMAGE,CRITICAL,2025-04-22,2025-05-06,2025-05-10,TECH-1034,Rajesh Kumar,33.5,OIL_FILTER,430908.53,54.8,Unknown,Tightened connections,NO,2025-08-04
ML-2025_04-0007,TRF-C-0048,SUB-C-022,CENTRAL,HP,CORRECTIVE,BUSHING_CRACK,LOW,2025-04-12,2025-04-16,2025-04-22,TECH-1063,Rajesh Kumar,3.0,TAP_CHANGER,285509.07,61.1,Insufficient maintenance,Replaced faulty component,NO,2025-07-15
ML-2025_04-0008,TRF-C-0004,SUB-C-010,CENTRAL,Uttarakhand,PREVENTIVE,NONE,LOW,2025-04-08,2025-04-18,,TECH-1053,Mahesh Joshi,,WINDING_COIL,,61.8,Voltage surge,Temporary fix applied,NO,2025-07-17
ML-2025_04-0009,TRF-S-0001,SUB-S-036,SOUTH,Telangana,PREVENTIVE,LIGHTNING_DAMAGE,MEDIUM,2025-04-11,2025-04-21,2025-04-28,TECH-1018,Deepak Singh,34.2,NONE,152680.59,18.7,Voltage surge,Full overhaul completed,NO,2025-07-20
ML-2025_04-0010,TRF-S-0007,SUB-S-014,SOUTH,Kerala,CORRECTIVE,NONE,CRITICAL,2025-04-03,2025-04-05,2025-04-10,TECH-1041,Amit Patel,2.6,GASKET,101476.89,32.9,Overloading,Tightened connections,NO,2025-07-04
